SEQ,MNAME,PRICE,MYEAR,MILEAGE,COLOR,TRANS,F_TYPE,DISP,VTYPE,VNUM,CU_HIS,MVD_HIS,AVD_HIS,FD_HIS,VT_HIS,US_HIS,L_NAME
6553,현대 아반떼AD 1.6 GDi 모던,1170,2016,35744,파랑색,오토,가솔린,1591,준중형,10우0668,0,0,0,0,0,1,현대 아반떼
6554,현대 더 뉴 그랜드 스타렉스 밴 5인승 스마트,1759,2020,149761,검정색,오토,디젤,2048,승합,85서1237,0,0,0,0,0,1,현대 스타렉스
6555,현대 그랜저IG 렌터카 3.0 LPi 모던 기본형,1670,2017,68190,검정,오토,LPG,2999,대형,229우3649,1,0,0,0,0,3,현대 그랜저
6556,현대 그랜저HG HG240 모던,900,2013,104906,흰색,오토,가솔린,3007,대형,49러5756,0,0,0,0,0,0,현대 그랜저
6557,현대 포터2 초장축 슈퍼캡 내장탑차 SUP,549,2011,90559,인기색상,수동,디젤,2349,트럭,82머3115,0,0,0,0,0,4,현대 포터
6558,현대 그랜드스타렉스 어린이보호차 럭셔리,960,2012,69525,노란색,오토,디젤,2497,승합,74러9801,0,0,0,0,0,5,현대 스타렉스
6559,현대 포터2 초장축 슈퍼캡 CRDi DLX 기본형,590,2016,173413,파랑색,수동,디젤,2497,트럭,817부9825,1,0,0,0,0,9,현대 포터
6560,현대 포터2 초장축 하이내장탑차 슈퍼캡 SUP,1520,2018,76718,흰색,오토,디젤,2497,트럭,811오5879,1,0,0,0,0,7,현대 포터
6561,현대 제네시스 BH330 GRAND 기본형,299,2008,207831,검정색,오토,가솔린,3007,대형,69주4432,1,0,0,0,0,3,현대 제네시스
6562,현대 LF쏘나타 하이브리드 2.0 HEV 모던,980,2015,170095,회색,오토,하이브리드(가솔린),1999,중형,38수1360,0,0,0,0,0,0,현대 쏘나타
6563,현대 그랜저HG HG240 모던,660,2013,151198,검정,오토,가솔린,2359,대형,35모6714,1,0,0,0,0,6,현대 그랜저
6564,현대 더 뉴 아반떼 AD Smartstream G1.6 스마트,1020,2019,102152,회색,오토,가솔린,1849,준중형,163부6739,1,0,0,0,0,2,현대 아반떼
6565,현대 YF쏘나타 Y20 프리미어 고급형,420,2010,91432,검정색,오토,가솔린,2181,중형,25루5597,1,0,0,0,0,4,현대 쏘나타
6566,현대 그랜저IG 3.0 익스클루시브 스페셜,1740,2018,126649,검정색,오토,가솔린,2199,대형,25거1128,0,0,0,0,0,1,현대 그랜저
6567,현대 테라칸 4WD 2.9 CRDi 디젤 JX290 GOLD 고급형,300,2003,111709,은색,오토,디젤,2902,SUV,60우0921,0,0,0,0,0,2,BMW X2
6568,현대 코나 하이브리드 1.6 HEV 프리미엄 스페셜,2350,2020,150713,흰색,오토,하이브리드(가솔린),2359,대형,102나6143,1,0,0,0,0,1,현대 코나
